,sim,szn,terr,data_avail,rank,rank_stat
446,jra55,OCT,5,31.0,3.0,0.205
447,jra55,OCT,6,0.0,,
448,jra55,OCT,7,31.0,3.0,1.08
449,jra55,OCT,10,62.0,3.0,0.518
450,jra55,OCT,11,31.0,1.0,0.0932
451,jra55,OCT,12,31.0,1.0,0.2
452,jra55,OCT,13,62.0,2.0,0.742
453,jra55,OCT,14,155.0,3.0,0.299
454,jra55,OCT,16,31.0,2.0,0.277
455,jra55,SEP,1,957.0,1.0,1.98
456,jra55,SEP,2,205.0,2.0,2.08
457,jra55,SEP,3,124.0,1.0,1.0
458,jra55,SEP,4,0.0,,
459,jra55,SEP,5,40.0,4.0,1.67
460,jra55,SEP,6,0.0,,
461,jra55,SEP,7,50.0,4.0,0.724
462,jra55,SEP,10,80.0,3.0,1.45
463,jra55,SEP,11,41.0,1.0,0.92
464,jra55,SEP,12,42.0,1.0,1.7
465,jra55,SEP,13,83.0,3.0,1.19
466,jra55,SEP,14,160.0,4.0,1.62
467,jra55,SEP,16,41.0,1.0,0.614
468,merra2,APR,1,1200.0,4.0,3.96
469,merra2,APR,2,300.0,3.0,2.77
470,merra2,APR,3,180.0,4.0,3.11
471,merra2,APR,4,30.0,1.0,0.869
472,merra2,APR,5,30.0,4.0,6.75
473,merra2,APR,6,0.0,,
474,merra2,APR,7,90.0,4.0,3.24
475,merra2,APR,10,120.0,1.0,0.686
476,merra2,APR,11,60.0,3.0,1.53
477,merra2,APR,12,60.0,1.0,6.6
478,merra2,APR,13,120.0,4.0,4.09
479,merra2,APR,14,150.0,4.0,10.7
480,merra2,APR,16,30.0,4.0,4.98
481,merra2,AUG,1,1335.0,4.0,5.09
482,merra2,AUG,2,310.0,3.0,4.41
483,merra2,AUG,3,186.0,3.0,2.39
484,merra2,AUG,4,0.0,,
485,merra2,AUG,5,62.0,2.0,1.35
486,merra2,AUG,6,0.0,,
487,merra2,AUG,7,93.0,4.0,4.51
488,merra2,AUG,10,124.0,3.0,1.25
489,merra2,AUG,11,62.0,3.0,2.25
