time,sitename,obs,terr
2015-11-29,ROCKT3,-9.583978,3
2015-11-30,ROCKT1,-11.763427,3
2015-11-30,ROCKT2,-8.697473,3
2015-11-30,ROCKT3,-9.081686,3
2015-12-01,ROCKT1,-12.9773445,3
2015-12-01,ROCKT2,-10.718567,3
2015-12-01,ROCKT3,-10.020002,3
2015-12-02,ROCKT1,-13.601162,3
2015-12-02,ROCKT2,-11.588173,3
2015-12-02,ROCKT3,-11.55499,3
2015-12-03,ROCKT1,-13.888812,3
2015-12-03,ROCKT2,-12.038935,3
2015-12-03,ROCKT3,-12.071372,3
2015-12-04,ROCKT1,-13.333359,3
2015-12-04,ROCKT2,-11.814482,3
2015-12-04,ROCKT3,-12.114478,3
2015-12-05,ROCKT1,-13.409839,3
2015-12-05,ROCKT2,-11.3828745,3
2015-12-05,ROCKT3,-11.951877,3
2015-12-06,ROCKT1,-14.920906,3
2015-12-06,ROCKT2,-12.820788,3
2015-12-06,ROCKT3,-12.922165,3
2015-12-07,ROCKT1,-14.830554,3
2015-12-07,ROCKT2,-12.452595,3
2015-12-07,ROCKT3,-13.191284,3
2015-12-08,ROCKT1,-14.6830635,3
2015-12-08,ROCKT2,-12.235771,3
2015-12-08,ROCKT3,-12.954255,3
2015-12-09,ROCKT1,-17.349854,3
2015-12-09,ROCKT2,-14.676876,3
2015-12-09,ROCKT3,-14.867476,3
2015-12-10,ROCKT1,-17.228367,3
2015-12-10,ROCKT2,-14.373437,3
2015-12-10,ROCKT3,-15.633861,3
2015-12-11,ROCKT1,-16.768465,3
2015-12-11,ROCKT2,-14.319782,3
2015-12-11,ROCKT3,-14.972143,3
2015-12-12,ROCKT1,-15.81901,3
2015-12-12,ROCKT2,-13.218233,3
2015-12-12,ROCKT3,-14.315536,3
2015-12-13,ROCKT1,-13.885538,3
2015-12-13,ROCKT2,-11.112758,3
2015-12-13,ROCKT3,-12.697466,3
2015-12-14,ROCKT1,-12.254908,3
2015-12-14,ROCKT2,-9.688988,3
2015-12-14,ROCKT3,-11.5019045,3
2015-12-15,ROCKT1,-11.02008,3
2015-12-15,ROCKT2,-8.700358,3
2015-12-15,ROCKT3,-10.316639,3
2015-12-16,ROCKT1,-11.856246,3
2015-12-16,ROCKT2,-9.859385,3
2015-12-16,ROCKT3,-10.140319,3
2015-12-17,ROCKT1,-13.969647,3
2015-12-17,ROCKT2,-12.700497,3
2015-12-17,ROCKT3,-13.11181,3
2015-12-18,ROCKT1,-15.338875,3
2015-12-18,ROCKT2,-14.130365,3
2015-12-18,ROCKT3,-14.965681,3
2015-12-19,ROCKT1,-16.883299,3
2015-12-19,ROCKT2,-15.398485,3
2015-12-19,ROCKT3,-16.354422,3
2015-12-20,ROCKT1,-16.914862,3
2015-12-20,ROCKT2,-14.994174,3
2015-12-20,ROCKT3,-16.20334,3
2015-12-21,ROCKT1,-16.126575,3
2015-12-21,ROCKT2,-13.876543,3
2015-12-21,ROCKT3,-15.46863,3
2015-12-22,ROCKT1,-15.895926,3
2015-12-22,ROCKT2,-13.568278,3
2015-12-22,ROCKT3,-15.155138,3
2015-12-23,ROCKT1,-17.259832,3
2015-12-23,ROCKT2,-14.853122,3
2015-12-23,ROCKT3,-16.430763,3
2015-12-24,ROCKT1,-18.493448,3
2015-12-24,ROCKT2,-15.875324,3
2015-12-24,ROCKT3,-17.843023,3
2015-12-25,ROCKT1,-18.897001,3
2015-12-25,ROCKT2,-16.22071,3
2015-12-25,ROCKT3,-18.60077,3
2015-12-26,ROCKT1,-20.36552,3
2015-12-26,ROCKT2,-18.29473,3
2015-12-26,ROCKT3,-21.711544,3
2015-12-27,ROCKT1,-22.120249,3
2015-12-27,ROCKT2,-19.523384,3
2015-12-27,ROCKT3,-22.647194,3
2015-12-28,ROCKT1,-23.00905,3
2015-12-28,ROCKT2,-19.918896,3
2015-12-28,ROCKT3,-22.876337,3
2015-12-29,ROCKT1,-22.24865,3
2015-12-29,ROCKT2,-18.881577,3
2015-12-29,ROCKT3,-22.03352,3
2015-12-30,ROCKT1,-19.89127,3
2015-12-30,ROCKT2,-16.34245,3
2015-12-30,ROCKT3,-19.332155,3
2015-12-31,ROCKT1,-17.532448,3
2015-12-31,ROCKT2,-14.003873,3
2015-12-31,ROCKT3,-16.43073,3
2016-01-01,ROCKT1,-15.749931,3
2016-01-01,ROCKT2,-12.658577,3
2016-01-01,ROCKT3,-14.190444,3
2016-01-02,ROCKT1,-13.399104,3
2016-01-02,ROCKT2,-10.675811,3
2016-01-02,ROCKT3,-11.263358,3
2016-01-03,ROCKT1,-12.830737,3
2016-01-03,ROCKT2,-10.499953,3
2016-01-03,ROCKT3,-10.948853,3
2016-01-04,ROCKT1,-12.139691,3
2016-01-04,ROCKT2,-10.039397,3
2016-01-04,ROCKT3,-10.247732,3
2016-01-05,ROCKT1,-14.161126,3
2016-01-05,ROCKT2,-12.345738,3
2016-01-05,ROCKT3,-12.916979,3
2016-01-06,ROCKT1,-16.466267,3
2016-01-06,ROCKT2,-14.3859215,3
2016-01-06,ROCKT3,-15.468046,3
2016-01-07,ROCKT1,-18.622099,3
2016-01-07,ROCKT2,-15.899873,3
2016-01-07,ROCKT3,-17.775969,3
2016-01-08,ROCKT1,-19.667063,3
2016-01-08,ROCKT2,-16.416807,3
2016-01-08,ROCKT3,-18.528662,3
2016-01-09,ROCKT1,-19.935375,3
2016-01-09,ROCKT2,-16.53064,3
