,sim,szn,terr,data_avail,rank,rank_stat
431,jra55,NOV,3,90.0,4.0,1.26
432,jra55,NOV,4,0.0,,
433,jra55,NOV,5,30.0,2.0,0.0953
434,jra55,NOV,6,0.0,,
435,jra55,NOV,7,30.0,1.0,0.775
436,jra55,NOV,10,60.0,4.0,0.479
437,jra55,NOV,11,30.0,4.0,0.685
438,jra55,NOV,12,30.0,4.0,3.9
439,jra55,NOV,13,60.0,1.0,1.15
440,jra55,NOV,14,150.0,2.0,0.403
441,jra55,NOV,16,30.0,3.0,0.419
442,jra55,OCT,1,806.0,1.0,0.442
443,jra55,OCT,2,155.0,1.0,0.388
444,jra55,OCT,3,93.0,4.0,0.5
445,jra55,OCT,4,0.0,,
446,jra55,OCT,5,31.0,3.0,0.211
447,jra55,OCT,6,0.0,,
448,jra55,OCT,7,31.0,4.0,1.06
449,jra55,OCT,10,62.0,3.0,0.484
450,jra55,OCT,11,31.0,1.0,0.0994
451,jra55,OCT,12,31.0,2.0,0.248
452,jra55,OCT,13,62.0,3.0,0.866
453,jra55,OCT,14,155.0,3.0,0.308
454,jra55,OCT,16,31.0,1.0,0.281
455,jra55,SEP,1,957.0,1.0,1.98
456,jra55,SEP,2,205.0,1.0,1.79
457,jra55,SEP,3,124.0,2.0,1.05
458,jra55,SEP,4,0.0,,
459,jra55,SEP,5,40.0,4.0,1.59
460,jra55,SEP,6,0.0,,
461,jra55,SEP,7,50.0,4.0,0.718
462,jra55,SEP,10,80.0,3.0,1.67
463,jra55,SEP,11,41.0,1.0,0.845
464,jra55,SEP,12,42.0,1.0,1.65
465,jra55,SEP,13,83.0,1.0,1.0
466,jra55,SEP,14,160.0,4.0,1.51
467,jra55,SEP,16,41.0,1.0,0.607
468,merra2,APR,1,1200.0,4.0,3.98
469,merra2,APR,2,300.0,3.0,2.69
470,merra2,APR,3,180.0,4.0,2.69
471,merra2,APR,4,30.0,1.0,0.843
472,merra2,APR,5,30.0,4.0,6.97
473,merra2,APR,6,0.0,,
474,merra2,APR,7,90.0,4.0,3.11
475,merra2,APR,10,120.0,1.0,0.645
476,merra2,APR,11,60.0,3.0,1.35
477,merra2,APR,12,60.0,1.0,6.65
478,merra2,APR,13,120.0,4.0,3.87
479,merra2,APR,14,150.0,4.0,10.1
480,merra2,APR,16,30.0,4.0,4.83
481,merra2,AUG,1,1335.0,4.0,5.22
482,merra2,AUG,2,310.0,4.0,4.93
483,merra2,AUG,3,186.0,3.0,2.4
484,merra2,AUG,4,0.0,,
485,merra2,AUG,5,62.0,1.0,1.33
486,merra2,AUG,6,0.0,,
487,merra2,AUG,7,93.0,4.0,4.89
488,merra2,AUG,10,124.0,3.0,1.5
489,merra2,AUG,11,62.0,3.0,2.38
490,merra2,AUG,12,62.0,4.0,5.77
491,merra2,AUG,13,124.0,3.0,1.7
492,merra2,AUG,14,187.0,1.0,0.97
493,merra2,AUG,16,62.0,4.0,5.65
494,merra2,DEC,1,806.0,2.0,2.92
495,merra2,DEC,2,155.0,1.0,1.09
496,merra2,DEC,3,93.0,3.0,1.93
497,merra2,DEC,4,0.0,,
498,merra2,DEC,5,31.0,4.0,0.208
499,merra2,DEC,6,0.0,,
500,merra2,DEC,7,31.0,3.0,2.76
501,merra2,DEC,10,62.0,1.0,0.237
502,merra2,DEC,11,31.0,1.0,0.62
503,merra2,DEC,12,31.0,1.0,6.88
504,merra2,DEC,13,62.0,4.0,2.56
505,merra2,DEC,14,155.0,4.0,4.38
506,merra2,DEC,16,31.0,2.0,0.369
507,merra2,FEB,1,1165.0,3.0,3.72
508,merra2,FEB,2,285.0,1.0,2.99
509,merra2,FEB,3,171.0,2.0,2.17
510,merra2,FEB,4,29.0,,
511,merra2,FEB,5,28.0,,
512,merra2,FEB,6,0.0,,
513,merra2,FEB,7,86.0,1.0,0.98
514,merra2,FEB,10,114.0,1.0,0.499
515,merra2,FEB,11,57.0,1.0,0.893
516,merra2,FEB,12,57.0,1.0,10.8
517,merra2,FEB,13,114.0,3.0,3.48
518,merra2,FEB,14,141.0,4.0,12.4
519,merra2,FEB,16,28.0,,
520,merra2,JAN,1,1256.0,3.0,3.86
521,merra2,JAN,2,305.0,1.0,2.23
522,merra2,JAN,3,183.0,1.0,1.97
523,merra2,JAN,4,30.0,1.0,4.57
524,merra2,JAN,5,31.0,1.0,0.161
525,merra2,JAN,6,0.0,,
526,merra2,JAN,7,91.0,4.0,1.73
527,merra2,JAN,10,122.0,1.0,0.182
528,merra2,JAN,11,61.0,1.0,0.378
529,merra2,JAN,12,61.0,1.0,10.1
530,merra2,JAN,13,122.0,3.0,2.79
531,merra2,JAN,14,155.0,4.0,9.6
532,merra2,JAN,16,31.0,4.0,1.9
533,merra2,JUL,1,1312.0,4.0,5.83
534,merra2,JUL,2,290.0,4.0,5.21
535,merra2,JUL,3,186.0,4.0,3.34
536,merra2,JUL,4,0.0,,
537,merra2,JUL,5,49.0,1.0,0.233
538,merra2,JUL,6,0.0,,
539,merra2,JUL,7,93.0,3.0,6.33
540,merra2,JUL,10,124.0,4.0,1.68
541,merra2,JUL,11,62.0,3.0,2.99
542,merra2,JUL,12,62.0,3.0,6.49
543,merra2,JUL,13,124.0,3.0,1.64
544,merra2,JUL,14,183.0,1.0,0.753
545,merra2,JUL,16,42.0,4.0,4.28
546,merra2,JUN,1,1200.0,4.0,3.56
547,merra2,JUN,2,270.0,4.0,2.43
548,merra2,JUN,3,180.0,2.0,1.94
549,merra2,JUN,4,0.0,,
550,merra2,JUN,5,30.0,3.0,0.663
551,merra2,JUN,6,0.0,,
552,merra2,JUN,7,90.0,3.0,3.37
553,merra2,JUN,10,120.0,4.0,0.718
554,merra2,JUN,11,60.0,2.0,0.385
555,merra2,JUN,12,60.0,2.0,3.82
556,merra2,JUN,13,120.0,1.0,0.914
557,merra2,JUN,14,150.0,3.0,0.829
558,merra2,JUN,16,30.0,3.0,1.61
559,merra2,MAR,1,1267.0,4.0,3.89
560,merra2,MAR,2,310.0,2.0,2.9
561,merra2,MAR,3,186.0,4.0,2.87
562,merra2,MAR,4,30.0,1.0,1.65
563,merra2,MAR,5,31.0,4.0,6.01
564,merra2,MAR,6,0.0,,
565,merra2,MAR,7,93.0,4.0,2.28
566,merra2,MAR,10,124.0,1.0,0.517
567,merra2,MAR,11,62.0,1.0,0.45
568,merra2,MAR,12,62.0,1.0,9.21
569,merra2,MAR,13,124.0,3.0,3.69
570,merra2,MAR,14,155.0,4.0,11.6
571,merra2,MAR,16,31.0,4.0,3.5
572,merra2,MAY,1,1240.0,3.0,1.9
573,merra2,MAY,2,306.0,3.0,1.67
574,merra2,MAY,3,186.0,2.0,2.17
575,merra2,MAY,4,15.0,,
576,merra2,MAY,5,31.0,4.0,4.25
577,merra2,MAY,6,0.0,,
578,merra2,MAY,7,93.0,3.0,0.886
579,merra2,MAY,10,124.0,3.0,0.789
580,merra2,MAY,11,62.0,2.0,0.965
581,merra2,MAY,12,62.0,1.0,6.3
582,merra2,MAY,13,124.0,3.0,2.04
583,merra2,MAY,14,155.0,4.0,4.66
584,merra2,MAY,16,31.0,4.0,2.62
585,merra2,NOV,1,780.0,1.0,1.72
586,merra2,NOV,2,150.0,3.0,0.95
587,merra2,NOV,3,90.0,2.0,0.615
588,merra2,NOV,4,0.0,,
589,merra2,NOV,5,30.0,4.0,0.214
590,merra2,NOV,6,0.0,,
591,merra2,NOV,7,30.0,3.0,1.19
592,merra2,NOV,10,60.0,3.0,0.265
593,merra2,NOV,11,30.0,1.0,0.0808
594,merra2,NOV,12,30.0,2.0,2.29
595,merra2,NOV,13,60.0,4.0,1.69
596,merra2,NOV,14,150.0,3.0,0.517
597,merra2,NOV,16,30.0,4.0,0.478
598,merra2,OCT,1,806.0,4.0,0.877
599,merra2,OCT,2,155.0,4.0,0.463
600,merra2,OCT,3,93.0,3.0,0.498
601,merra2,OCT,4,0.0,,
602,merra2,OCT,5,31.0,4.0,0.342
603,merra2,OCT,6,0.0,,
604,merra2,OCT,7,31.0,3.0,1.04
605,merra2,OCT,10,62.0,4.0,0.762
606,merra2,OCT,11,31.0,4.0,0.118
607,merra2,OCT,12,31.0,3.0,0.279
608,merra2,OCT,13,62.0,2.0,0.859
609,merra2,OCT,14,155.0,4.0,0.479
610,merra2,OCT,16,31.0,4.0,1.04
611,merra2,SEP,1,957.0,4.0,2.76
612,merra2,SEP,2,205.0,4.0,2.53
613,merra2,SEP,3,124.0,3.0,1.09
614,merra2,SEP,4,0.0,,
