,sim,szn,terr,data_avail,rank,rank_stat
270,era5,JAN,15,279.0,3.0,0.488
271,era5,JAN,16,31.0,4.0,0.5
272,era5,JUL,1,651.0,4.0,0.494
273,era5,JUL,2,418.0,4.0,0.519
274,era5,JUL,3,264.0,4.0,0.502
275,era5,JUL,4,155.0,4.0,0.512
276,era5,JUL,5,233.0,4.0,0.501
277,era5,JUL,6,161.0,4.0,0.477
278,era5,JUL,7,186.0,4.0,0.478
279,era5,JUL,8,310.0,4.0,0.503
280,era5,JUL,9,186.0,2.0,0.475
281,era5,JUL,10,124.0,4.0,0.544
282,era5,JUL,11,217.0,4.0,0.512
283,era5,JUL,12,93.0,4.0,0.484
284,era5,JUL,13,124.0,4.0,0.503
285,era5,JUL,14,188.0,1.0,0.452
286,era5,JUL,15,292.0,2.0,0.497
287,era5,JUL,16,46.0,1.0,0.335
288,era5,JUN,1,630.0,4.0,0.518
289,era5,JUN,2,390.0,4.0,0.549
290,era5,JUN,3,240.0,3.0,0.502
291,era5,JUN,4,150.0,2.0,0.508
292,era5,JUN,5,180.0,4.0,0.5
293,era5,JUN,6,180.0,4.0,0.492
294,era5,JUN,7,180.0,4.0,0.517
295,era5,JUN,8,300.0,2.0,0.523
296,era5,JUN,9,180.0,4.0,0.511
297,era5,JUN,10,120.0,4.0,0.531
298,era5,JUN,11,210.0,3.0,0.528
299,era5,JUN,12,90.0,3.0,0.5
300,era5,JUN,13,120.0,3.0,0.517
301,era5,JUN,14,150.0,4.0,0.504
302,era5,JUN,15,270.0,3.0,0.501
303,era5,JUN,16,30.0,2.0,0.451
304,era5,MAR,1,651.0,1.0,0.495
305,era5,MAR,2,403.0,1.0,0.483
306,era5,MAR,3,248.0,1.0,0.454
307,era5,MAR,4,155.0,4.0,0.498
308,era5,MAR,5,186.0,3.0,0.5
309,era5,MAR,6,186.0,4.0,0.513
310,era5,MAR,7,186.0,4.0,0.505
311,era5,MAR,8,310.0,1.0,0.48
312,era5,MAR,9,186.0,4.0,0.5
313,era5,MAR,10,124.0,1.0,0.478
314,era5,MAR,11,217.0,3.0,0.505
315,era5,MAR,12,124.0,4.0,0.5
316,era5,MAR,13,124.0,1.0,0.474
317,era5,MAR,14,155.0,1.0,0.495
318,era5,MAR,15,279.0,3.0,0.49
319,era5,MAR,16,31.0,4.0,0.5
320,era5,MAY,1,651.0,3.0,0.502
321,era5,MAY,2,403.0,3.0,0.513
322,era5,MAY,3,248.0,4.0,0.499
323,era5,MAY,4,155.0,3.0,0.502
324,era5,MAY,5,186.0,1.0,0.403
325,era5,MAY,6,186.0,3.0,0.517
326,era5,MAY,7,186.0,4.0,0.507
327,era5,MAY,8,310.0,1.0,0.492
328,era5,MAY,9,186.0,3.0,0.507
329,era5,MAY,10,124.0,4.0,0.539
330,era5,MAY,11,217.0,3.0,0.507
331,era5,MAY,12,107.0,1.0,0.5
332,era5,MAY,13,124.0,4.0,0.51
333,era5,MAY,14,155.0,4.0,0.444
334,era5,MAY,15,279.0,4.0,0.483
335,era5,MAY,16,31.0,3.0,0.5
336,era5,NOV,1,330.0,4.0,0.506
337,era5,NOV,2,270.0,2.0,0.501
338,era5,NOV,3,150.0,2.0,0.483
339,era5,NOV,4,90.0,4.0,0.5
340,era5,NOV,5,180.0,3.0,0.476
341,era5,NOV,6,90.0,4.0,0.54
342,era5,NOV,7,120.0,4.0,0.563
343,era5,NOV,8,300.0,3.0,0.5
344,era5,NOV,9,180.0,3.0,0.5
345,era5,NOV,10,60.0,2.0,0.443
346,era5,NOV,11,180.0,4.0,0.5
347,era5,NOV,12,60.0,4.0,0.5
348,era5,NOV,13,60.0,4.0,0.5
349,era5,NOV,14,150.0,1.0,0.41
350,era5,NOV,15,270.0,2.0,0.459
351,era5,NOV,16,30.0,2.0,0.441
352,era5,OCT,1,341.0,1.0,0.462
353,era5,OCT,2,279.0,3.0,0.502
354,era5,OCT,3,173.0,3.0,0.501
355,era5,OCT,4,93.0,1.0,0.501
356,era5,OCT,5,186.0,3.0,0.501
357,era5,OCT,6,93.0,3.0,0.516
358,era5,OCT,7,124.0,2.0,0.493
359,era5,OCT,8,310.0,3.0,0.503
360,era5,OCT,9,186.0,3.0,0.502
361,era5,OCT,10,62.0,2.0,0.501
362,era5,OCT,11,186.0,2.0,0.511
363,era5,OCT,12,62.0,4.0,0.5
364,era5,OCT,13,62.0,3.0,0.5
365,era5,OCT,14,155.0,4.0,0.517
366,era5,OCT,15,279.0,4.0,0.502
367,era5,OCT,16,31.0,3.0,0.5
368,era5,SEP,1,425.0,4.0,0.538
369,era5,SEP,2,311.0,4.0,0.551
370,era5,SEP,3,214.0,3.0,0.531
371,era5,SEP,4,111.0,4.0,0.529
372,era5,SEP,5,201.0,3.0,0.502
373,era5,SEP,6,101.0,4.0,0.494
374,era5,SEP,7,148.0,4.0,0.497
375,era5,SEP,8,300.0,2.0,0.52
376,era5,SEP,9,182.0,2.0,0.515
377,era5,SEP,10,80.0,3.0,0.526
378,era5,SEP,11,191.0,4.0,0.555
379,era5,SEP,12,73.0,3.0,0.514
380,era5,SEP,13,83.0,4.0,0.542
381,era5,SEP,14,160.0,3.0,0.513
382,era5,SEP,15,270.0,3.0,0.502
383,era5,SEP,16,41.0,3.0,0.5
384,jra55,APR,1,630.0,4.0,0.503
385,jra55,APR,2,390.0,4.0,0.506
386,jra55,APR,3,240.0,3.0,0.478
387,jra55,APR,4,150.0,4.0,0.5
388,jra55,APR,5,180.0,4.0,0.5
389,jra55,APR,6,180.0,3.0,0.507
390,jra55,APR,7,180.0,2.0,0.503
391,jra55,APR,8,300.0,4.0,0.543
392,jra55,APR,9,180.0,2.0,0.441
393,jra55,APR,10,120.0,4.0,0.517
394,jra55,APR,11,210.0,4.0,0.511
395,jra55,APR,12,120.0,4.0,0.5
396,jra55,APR,13,120.0,4.0,0.538
397,jra55,APR,14,150.0,4.0,0.506
398,jra55,APR,15,270.0,3.0,0.488
399,jra55,APR,16,30.0,4.0,0.5
400,jra55,AUG,1,627.0,2.0,0.468
401,jra55,AUG,2,404.0,2.0,0.489
402,jra55,AUG,3,279.0,2.0,0.475
403,jra55,AUG,4,155.0,4.0,0.504
404,jra55,AUG,5,249.0,4.0,0.5
405,jra55,AUG,6,124.0,4.0,0.474
406,jra55,AUG,7,212.0,4.0,0.487
407,jra55,AUG,8,303.0,4.0,0.515
408,jra55,AUG,9,182.0,2.0,0.478
409,jra55,AUG,10,124.0,4.0,0.487
410,jra55,AUG,11,214.0,3.0,0.517
411,jra55,AUG,12,93.0,1.0,0.45
412,jra55,AUG,13,124.0,3.0,0.505
413,jra55,AUG,14,187.0,2.0,0.495
414,jra55,AUG,15,280.0,1.0,0.477
415,jra55,AUG,16,62.0,2.0,0.498
416,jra55,DEC,1,341.0,2.0,0.491
417,jra55,DEC,2,279.0,4.0,0.504
418,jra55,DEC,3,155.0,4.0,0.525
419,jra55,DEC,4,93.0,2.0,0.501
420,jra55,DEC,5,186.0,1.0,0.479
421,jra55,DEC,6,93.0,2.0,0.479
422,jra55,DEC,7,124.0,2.0,0.494
423,jra55,DEC,8,310.0,4.0,0.509
424,jra55,DEC,9,186.0,4.0,0.501
425,jra55,DEC,10,62.0,2.0,0.48
426,jra55,DEC,11,186.0,1.0,0.491
427,jra55,DEC,12,62.0,4.0,0.5
428,jra55,DEC,13,62.0,4.0,0.519
429,jra55,DEC,14,155.0,2.0,0.486
430,jra55,DEC,15,279.0,4.0,0.505
431,jra55,DEC,16,31.0,4.0,0.519
432,jra55,FEB,1,599.0,2.0,0.492
433,jra55,FEB,2,369.0,3.0,0.494
434,jra55,FEB,3,227.0,3.0,0.489
435,jra55,FEB,4,142.0,4.0,0.5
436,jra55,FEB,5,169.0,2.0,0.501
437,jra55,FEB,6,171.0,2.0,0.493
438,jra55,FEB,7,170.0,1.0,0.474
439,jra55,FEB,8,282.0,1.0,0.451
440,jra55,FEB,9,169.0,4.0,0.5
441,jra55,FEB,10,114.0,2.0,0.486
442,jra55,FEB,11,198.0,1.0,0.484
443,jra55,FEB,12,114.0,4.0,0.5
444,jra55,FEB,13,114.0,3.0,0.491
445,jra55,FEB,14,141.0,4.0,0.534
446,jra55,FEB,15,254.0,4.0,0.505
447,jra55,FEB,16,28.0,,
448,jra55,JAN,1,641.0,3.0,0.499
449,jra55,JAN,2,399.0,3.0,0.499
450,jra55,JAN,3,245.0,4.0,0.501
451,jra55,JAN,4,153.0,4.0,0.5
452,jra55,JAN,5,186.0,4.0,0.509
453,jra55,JAN,6,183.0,2.0,0.481
454,jra55,JAN,7,184.0,1.0,0.477
455,jra55,JAN,8,310.0,1.0,0.49
456,jra55,JAN,9,186.0,4.0,0.5
457,jra55,JAN,10,122.0,3.0,0.499
458,jra55,JAN,11,216.0,3.0,0.503
459,jra55,JAN,12,122.0,4.0,0.5
460,jra55,JAN,13,122.0,1.0,0.46
461,jra55,JAN,14,155.0,4.0,0.506
462,jra55,JAN,15,279.0,2.0,0.482
463,jra55,JAN,16,31.0,1.0,0.494
464,jra55,JUL,1,651.0,3.0,0.472
465,jra55,JUL,2,418.0,2.0,0.481
466,jra55,JUL,3,264.0,2.0,0.459
467,jra55,JUL,4,155.0,2.0,0.474
468,jra55,JUL,5,233.0,1.0,0.475
469,jra55,JUL,6,161.0,3.0,0.461
470,jra55,JUL,7,186.0,3.0,0.458
471,jra55,JUL,8,310.0,2.0,0.483
472,jra55,JUL,9,186.0,3.0,0.5
473,jra55,JUL,10,124.0,3.0,0.486
474,jra55,JUL,11,217.0,3.0,0.501
475,jra55,JUL,12,93.0,4.0,0.484
476,jra55,JUL,13,124.0,2.0,0.482
477,jra55,JUL,14,188.0,4.0,0.501
478,jra55,JUL,15,292.0,1.0,0.495
479,jra55,JUL,16,46.0,4.0,0.5
480,jra55,JUN,1,630.0,3.0,0.482
481,jra55,JUN,2,390.0,2.0,0.508
482,jra55,JUN,3,240.0,4.0,0.509
483,jra55,JUN,4,150.0,3.0,0.512
484,jra55,JUN,5,180.0,3.0,0.498
485,jra55,JUN,6,180.0,2.0,0.448
486,jra55,JUN,7,180.0,3.0,0.513
487,jra55,JUN,8,300.0,4.0,0.528
488,jra55,JUN,9,180.0,1.0,0.501
489,jra55,JUN,10,120.0,3.0,0.52
490,jra55,JUN,11,210.0,2.0,0.511
491,jra55,JUN,12,90.0,4.0,0.507
492,jra55,JUN,13,120.0,4.0,0.522
493,jra55,JUN,14,150.0,1.0,0.474
494,jra55,JUN,15,270.0,4.0,0.508
