,stat,sim,szn,terr,data_avail,rank,rank_stat
24,BIAS,ens,JAN,5,372.0,3.0,1.62
25,BIAS,ens,JUL,1,310.0,2.0,2.54
26,BIAS,ens,JUL,2,139.0,2.0,-3.78
27,BIAS,ens,JUL,3,0.0,,
28,BIAS,ens,JUL,4,840.0,2.0,-4.54
29,BIAS,ens,JUL,5,426.0,2.0,-5.33
30,BIAS,ens,JUN,1,300.0,2.0,0.917
31,BIAS,ens,JUN,2,120.0,3.0,-2.04
32,BIAS,ens,JUN,3,0.0,,
33,BIAS,ens,JUN,4,720.0,2.0,-4.66
34,BIAS,ens,JUN,5,360.0,2.0,-5.16
35,BIAS,ens,MAR,1,310.0,2.0,-1.76
36,BIAS,ens,MAR,2,124.0,2.0,-0.929
37,BIAS,ens,MAR,3,0.0,,
38,BIAS,ens,MAR,4,744.0,3.0,3.0
39,BIAS,ens,MAR,5,372.0,3.0,2.36
40,BIAS,ens,MAY,1,310.0,2.0,-1.92
41,BIAS,ens,MAY,2,124.0,3.0,-1.0
42,BIAS,ens,MAY,3,0.0,,
43,BIAS,ens,MAY,4,744.0,2.0,-0.465
44,BIAS,ens,MAY,5,372.0,2.0,-2.02
45,BIAS,ens,NOV,1,300.0,1.0,-3.28
46,BIAS,ens,NOV,2,120.0,3.0,-0.755
47,BIAS,ens,NOV,3,0.0,,
48,BIAS,ens,NOV,4,720.0,3.0,0.00357
49,BIAS,ens,NOV,5,360.0,3.0,0.257
50,BIAS,ens,OCT,1,310.0,3.0,-1.14
51,BIAS,ens,OCT,2,124.0,1.0,-1.02
52,BIAS,ens,OCT,3,0.0,,
53,BIAS,ens,OCT,4,744.0,3.0,-0.996
54,BIAS,ens,OCT,5,372.0,2.0,-0.918
55,BIAS,ens,SEP,1,300.0,3.0,-0.198
56,BIAS,ens,SEP,2,120.0,2.0,-2.48
57,BIAS,ens,SEP,3,0.0,,
58,BIAS,ens,SEP,4,720.0,2.0,-2.78
59,BIAS,ens,SEP,5,360.0,2.0,-3.08
60,BIAS,era5,APR,1,300.0,3.0,-0.833
61,BIAS,era5,APR,2,120.0,1.0,-2.14
62,BIAS,era5,APR,3,0.0,,
63,BIAS,era5,APR,4,720.0,1.0,-1.3
64,BIAS,era5,APR,5,360.0,1.0,-1.72
65,BIAS,era5,AUG,1,307.0,3.0,3.21
66,BIAS,era5,AUG,2,125.0,3.0,-2.08
67,BIAS,era5,AUG,3,0.0,,
68,BIAS,era5,AUG,4,750.0,3.0,-1.94
69,BIAS,era5,AUG,5,375.0,3.0,-2.8
70,BIAS,era5,DEC,1,310.0,3.0,-3.04
71,BIAS,era5,DEC,2,124.0,1.0,-2.26
72,BIAS,era5,DEC,3,0.0,,
73,BIAS,era5,DEC,4,744.0,1.0,-0.905
74,BIAS,era5,DEC,5,372.0,1.0,-1.84
75,BIAS,era5,FEB,1,282.0,3.0,-0.959
76,BIAS,era5,FEB,2,113.0,1.0,-6.2
77,BIAS,era5,FEB,3,0.0,,
78,BIAS,era5,FEB,4,678.0,1.0,-0.454
79,BIAS,era5,FEB,5,339.0,1.0,-1.06
80,BIAS,era5,JAN,1,310.0,3.0,-1.85
81,BIAS,era5,JAN,2,124.0,1.0,-2.91
82,BIAS,era5,JAN,3,0.0,,
83,BIAS,era5,JAN,4,744.0,1.0,-0.811
84,BIAS,era5,JAN,5,372.0,1.0,-1.13
85,BIAS,era5,JUL,1,310.0,3.0,3.9
86,BIAS,era5,JUL,2,139.0,3.0,-2.1
87,BIAS,era5,JUL,3,0.0,,
88,BIAS,era5,JUL,4,840.0,3.0,-3.81
89,BIAS,era5,JUL,5,426.0,3.0,-3.3
90,BIAS,era5,JUN,1,300.0,3.0,1.36
91,BIAS,era5,JUN,2,120.0,2.0,-3.35
92,BIAS,era5,JUN,3,0.0,,
93,BIAS,era5,JUN,4,720.0,3.0,-4.5
94,BIAS,era5,JUN,5,360.0,3.0,-4.76
95,BIAS,era5,MAR,1,310.0,3.0,-0.209
96,BIAS,era5,MAR,2,124.0,1.0,-4.0
97,BIAS,era5,MAR,3,0.0,,
98,BIAS,era5,MAR,4,744.0,1.0,-0.885
99,BIAS,era5,MAR,5,372.0,1.0,-2.09
100,BIAS,era5,MAY,1,310.0,3.0,-1.86
101,BIAS,era5,MAY,2,124.0,1.0,-2.2
102,BIAS,era5,MAY,3,0.0,,
103,BIAS,era5,MAY,4,744.0,1.0,-2.91
104,BIAS,era5,MAY,5,372.0,1.0,-4.12
105,BIAS,era5,NOV,1,300.0,4.0,-2.35
106,BIAS,era5,NOV,2,120.0,1.0,-2.05
107,BIAS,era5,NOV,3,0.0,,
108,BIAS,era5,NOV,4,720.0,1.0,-1.29
109,BIAS,era5,NOV,5,360.0,1.0,-0.736
110,BIAS,era5,OCT,1,310.0,1.0,-1.72
111,BIAS,era5,OCT,2,124.0,4.0,-0.795
112,BIAS,era5,OCT,3,0.0,,
113,BIAS,era5,OCT,4,744.0,2.0,-1.05
114,BIAS,era5,OCT,5,372.0,3.0,-0.914
115,BIAS,era5,SEP,1,300.0,2.0,-0.483
116,BIAS,era5,SEP,2,120.0,3.0,-1.87
117,BIAS,era5,SEP,3,0.0,,
118,BIAS,era5,SEP,4,720.0,3.0,-2.11
119,BIAS,era5,SEP,5,360.0,3.0,-2.81
120,BIAS,jra55,APR,1,300.0,4.0,0.418
121,BIAS,jra55,APR,2,120.0,4.0,0.459
122,BIAS,jra55,APR,3,0.0,,
123,BIAS,jra55,APR,4,720.0,2.0,1.13
124,BIAS,jra55,APR,5,360.0,2.0,0.443
125,BIAS,jra55,AUG,1,307.0,4.0,5.12
126,BIAS,jra55,AUG,2,125.0,4.0,-0.71
127,BIAS,jra55,AUG,3,0.0,,
128,BIAS,jra55,AUG,4,750.0,4.0,-0.527
129,BIAS,jra55,AUG,5,375.0,4.0,-1.39
130,BIAS,jra55,DEC,1,310.0,4.0,-2.19
131,BIAS,jra55,DEC,2,124.0,2.0,-1.75
132,BIAS,jra55,DEC,3,0.0,,
133,BIAS,jra55,DEC,4,744.0,2.0,0.446
134,BIAS,jra55,DEC,5,372.0,2.0,0.345
135,BIAS,jra55,FEB,1,282.0,4.0,-0.429
136,BIAS,jra55,FEB,2,113.0,4.0,-0.758
137,BIAS,jra55,FEB,3,0.0,,
138,BIAS,jra55,FEB,4,678.0,2.0,1.47
139,BIAS,jra55,FEB,5,339.0,2.0,1.05
140,BIAS,jra55,JAN,1,310.0,4.0,-1.75
141,BIAS,jra55,JAN,2,124.0,2.0,-1.56
142,BIAS,jra55,JAN,3,0.0,,
143,BIAS,jra55,JAN,4,744.0,2.0,0.714
144,BIAS,jra55,JAN,5,372.0,2.0,0.67
145,BIAS,jra55,JUL,1,310.0,4.0,5.67
146,BIAS,jra55,JUL,2,139.0,4.0,0.324
147,BIAS,jra55,JUL,3,0.0,,
148,BIAS,jra55,JUL,4,840.0,4.0,-0.583
149,BIAS,jra55,JUL,5,426.0,4.0,-1.3
150,BIAS,jra55,JUN,1,300.0,4.0,3.5
